,mt,mr,mre,mp
0,"MOTOROLA G32 (Mineral Gray, 128 GB)",4.1,"58,139 Ratings & 5,110 Reviews","₹9,999"
1,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",4.2,"45,451 Ratings & 2,622 Reviews","₹6,499"
2,"MOTOROLA Edge 40 Neo (Black Beauty, 256 GB)",4.3,"78,722 Ratings & 3,886 Reviews","₹22,999"
3,"MOTOROLA Edge 40 Neo (Caneel Bay, 256 GB)",4.4,"1,13,148 Ratings & 7,877 Reviews","₹22,999"
4,"MOTOROLA Edge 40 Neo (Black Beauty, 128 GB)",4.1,"22,868 Ratings & 2,012 Reviews","₹20,999"
5,"Infinix SMART 7 (Azure Blue, 64 GB)",4.3,"1,73,378 Ratings & 9,929 Reviews","₹6,699"
6,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)",4.3,"78,722 Ratings & 3,886 Reviews","₹17,024"
7,"POCO M5 (Icy Blue, 64 GB)",4,"53,511 Ratings & 4,410 Reviews","₹7,777"
8,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",4.3,"78,722 Ratings & 3,886 Reviews","₹9,199"
9,"Infinix SMART 7 (Emerald Green, 64 GB)",4.3,"78,722 Ratings & 3,886 Reviews","₹6,699"
10,"MOTOROLA e13 (Aurora Green, 64 GB)",4.1,"58,139 Ratings & 5,110 Reviews","₹6,499"
11,"Infinix SMART 7 (Night Black, 64 GB)",4.3,"1,73,378 Ratings & 9,929 Reviews","₹6,699"
12,"Infinix SMART 7 (Azure Blue, 128 GB)",4.1,"2,858 Ratings & 376 Reviews","₹6,799"
13,"MOTOROLA G32 (Satin Silver, 128 GB)",4.2,"45,451 Ratings & 2,622 Reviews","₹9,999"
14,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)",3.9,"1,860 Ratings & 157 Reviews","₹9,199"
15,"MOTOROLA g84 5G (Viva Magneta, 256 GB)",4.1,"2,697 Ratings & 303 Reviews","₹17,999"
16,"MOTOROLA Edge 40 Neo (Caneel Bay, 128 GB)",4.1,"22,868 Ratings & 2,012 Reviews","₹20,999"
17,"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)",4.4,"8,164 Ratings & 615 Reviews","₹6,499"
18,"MOTOROLA Edge 40 Neo (Soothing Sea, 256 GB)",4.3,"1,73,378 Ratings & 9,929 Reviews","₹22,999"
